tweet_id,favorite_count,retweet_count
892420643555336193,37087,7923
892177421306343426,31912,5886
891815181378084864,24024,3886
891689557279858688,40412,8078
891327558926688256,38628,8756
891087950875897856,19411,2911
890971913173991426,11327,1930
890729181411237888,62563,17669
890609185150312448,26712,4011
890240255349198849,30587,6893
890006608113172480,29449,6864
889880896479866881,26717,4672
889665388333682689,46087,9398
889638837579907072,25982,4219
889531135344209921,14504,2113
889278841981685760,24188,5018
888917238123831296,27920,4210
888804989199671297,24524,3988
888554962724278272,18990,3288
888078434458587136,20862,3258
887705289381826560,28980,5044
887517139158093824,44445,10990
887473957103951883,66069,16893
887343217045368832,32301,9796
887101392804085760,29326,5578
886983233522544640,33629,7189
886736880519319552,11524,3034
886680336477933568,21511,4176
886366144734445568,20289,2988
886267009285017600,115,4
886258384151887873,26831,5913
886054160059072513,0,103
885984800019947520,31274,6319
885528943205470208,34497,5995
885518971528720385,19630,3496
885311592912609280,0,17372
885167619883638784,21010,4097
884925521741709313,74154,16995
884876753390489601,26751,5253
884562892145688576,23318,4414
884441805382717440,25933,5328
884247878851493888,69886,19060
884162670584377345,19548,2793
883838122936631299,20970,3234
883482846933004288,44037,9276
883360690899218434,21750,3470
883117836046086144,35605,6229
882992080364220416,22937,3655
882762694511734784,27127,4592
882627270321602560,26800,5686
882268110199369728,43073,10869
882045870035918850,28126,4592
881906580714921986,23332,3185
881666595344535552,48585,10018
881633300179243008,121,7
881536004380872706,47403,14967
881268444196462592,22240,4913
880935762899988482,16334,2616
880872448815771648,20422,3583
880465832366813184,27360,5852
880221127280381952,25913,3945
880095782870896641,26531,4070
879862464715927552,21455,3275
879674319642796034,301,10
879492040517615616,22518,2985
879415818425184262,101639,41684
879376492567855104,16147,2932
879130579576475649,0,6397
879050749262655488,21645,4396
879008229531029506,18226,2525
878776093423087618,18609,3855
878604707211726852,28972,6710
878404777348136964,0,1210
878316110768087041,0,6274
878281511006478336,7418,1210
878057613040115712,40418,6397
877736472329191424,76436,17888
877611172832227328,0,74
877556246731214848,21817,3582
877316821321428993,26327,4872
877201837425926144,26041,5259
876838120628539392,19904,3140
876537666061221889,22669,4397
876484053909872640,18040,2244
876120275196170240,26857,4399
875747767867523072,24214,4020
875144289856114688,21088,4646
875097192612077568,26393,5725
875021211251597312,24499,4456
874680097055178752,26769,4370
874434818259525634,0,13770
874296783580663808,25062,3885
874057562936811520,21852,3743
874012996292530176,33197,9742
873580283840344065,23314,3719
873337748698140672,0,1505
873213775632977920,6927,1505
872967104147763200,26290,5117
872820683541237760,14194,3514
872620804844003328,19992,3465
872486979161796608,39255,8547
872122724285648897,33183,7688
871879754684805121,36461,10487
871762521631449091,19555,3300
871515927908634625,19465,3288
871166179821445120,0,5424
871102520638267392,20236,5237
871032628920680449,21939,3632
870804317367881728,32515,5889
870726314365509632,118,3
870656317836468226,11984,2508
870374049280663552,80178,25171
870308999962521604,21174,3958
870063196459192321,35431,7922
869772420881756160,41156,9622
869702957897576449,27366,6028
869596645499047938,15492,2992
869227993411051520,19807,3611
868880397819494401,63547,13813
868639477480148993,0,1989
868622495443632128,25933,5079
868552278524837888,9811,1989
867900495410671616,23520,4007
867774946302451713,33015,7047
867421006826221569,15665,2383
867072653475098625,0,117
867051520902168576,31360,7555
866720684873056260,19516,4614
866686824827068416,18768,3336
866450705531457537,119138,33910
866334964761202691,51140,13770
866094527597207552,0,8070
865718153858494464,25012,5409
865359393868664832,25813,4813
865006731092295680,27331,7404
864873206498414592,31491,8390
864279568663928832,14245,2916
864197398364647424,29363,8567
863907417377173506,20136,3988
863553081350529029,14936,4042
863471782782697472,0,2352
863432100342583297,23281,5072
863427515083354112,2188,92
863079547188785154,8584,1067
863062471531167744,8300,2352
862831371563274240,18770,4980
862722525377298433,16718,3427
862457590147678208,20054,4793
862096992088072192,72947,22475
861383897657036800,35386,10398
861288531465048066,16870,4020
861005113778896900,16391,3709
860981674716409858,0,2091
860924035999428608,0,787
860563773140209665,7375,2091
860524505164394496,23216,5154
860276583193509888,18014,3398
860184849394610176,16382,5700
860177593139703809,0,30163
859924526012018688,19246,3996
859851578198683649,15165,3429
859607811541651456,18284,1527
859196978902773760,88578,29434
859074603037188101,33366,13308
858860390427611136,0,7953
858843525470990336,15322,3424
858471635011153920,21191,4749
858107933456039936,15520,2855
857989990357356544,15910,2541
857746408056729600,33808,10417
857393404942143489,5818,1610
857263160327368704,19791,4432
857214891891077121,225,17
857062103051644929,0,168
857029823797047296,18712,3933
856543823941562368,16123,2834
856526610513747968,11745,1849
856330835276025856,0,655
856288084350160898,510,15
856282028240666624,27505,6194
855862651834028034,342,26
855860136149123072,4959,988
855857698524602368,11780,2092
855851453814013952,45240,17710
855818117272018944,26451,5362
855459453768019968,29690,8129
855245323840757760,0,5907
855138241867124737,0,44
854732716440526848,22718,6007
854482394044301312,29179,6835
854365224396361728,18816,4656
854120357044912130,31891,7442
854010172552949760,16162,3139
853760880890318849,28546,5722
853639147608842240,34759,10050
853299958564483072,15510,3540
852936405516943360,0,1999
852912242202992640,9073,1822
852672615818899456,14936,2148
852553447878664193,16344,3494
852311364735569921,33201,9929
852226086759018497,20065,6853
852189679701164033,11486,1585
851861385021730816,0,19
851591660324737024,16302,3484
851464819735769094,24348,7081
851224888060895234,20762,5745
850753642995093505,31057,9201
850380195714523136,13158,2628
850333567704068097,3476,335
850145622816686080,16444,3827
850019790995546112,20573,4907
849776966551130114,30716,7655
849668094696017920,0,4981
849412302885593088,15992,3174
849336543269576704,11505,1916
849051919805034497,42733,8549
848690551926992896,25426,4360
848324959059550208,24992,4639
848213670039564288,8273,741
848212111729840128,16493,3083
847978865427394560,0,3293
847971574464610304,0,436
847962785489326080,23776,5148
847842811428974592,5513,1344
847617282490613760,7075,421
847606175596138505,18986,3460
847251039262605312,20713,4336
847157206088847362,20163,5943
847116187444137987,21685,3226
846874817362120707,20343,3969
846514051647705089,45226,11727
846505985330044928,14300,3107
846153765933735936,32096,9183
846139713627017216,31385,10108
846042936437604353,16229,2912
845812042753855489,29689,8835
845677943972139009,25539,4858
845397057150107648,7748,1836
845306882940190720,23688,5464
845098359547420673,0,7777
844979544864018432,13842,2598
844973813909606400,15343,3258
844580511645339650,16753,3185
844223788422217728,13864,2240
843981021012017153,15402,2992
843856843873095681,21821,4706
843604394117681152,17176,2792
843235543001513987,21890,6127
842846295480000512,15503,3696
842765311967449089,6873,1306
842535590457499648,18412,3576
842163532590374912,24905,5907
842115215311396866,14259,3095
841833993020538882,0,15480
841680585030541313,26177,7949
841439858740625411,12902,3759
841320156043304961,20175,5600
841314665196081154,16140,4768
841077006473256960,23311,5424
840761248237133825,0,1796
840728873075638272,0,16523
840698636975636481,178,2
840696689258311684,12527,997
840632337062862849,9159,1796
840370681858686976,16797,4651
840268004936019968,19678,5859
839990271299457024,13705,2341
839549326359670784,28069,7953
839290600511926273,0,146
839239871831150596,27780,6686
838952994649550848,20053,4088
838921590096166913,11400,2108
838916489579200512,0,35
838831947270979586,0,11291
838561493054533637,11159,1363
838476387338051585,23080,4898
838201503651401729,0,10319
838150277551247360,1710,339
838085839343206401,145,1
838083903487373313,18031,3224
837820167694528512,34955,8070
837482249356513284,3919,450
837471256429613056,13095,2333
837110210464448512,16418,2436
836989968035819520,13029,2345
836753516572119041,19753,4768
836677758902222849,12916,2276
836648853927522308,0,564
836397794269200385,0,28330
836380477523124226,15111,3061
836260088725786625,21816,4409
836001077879255040,19568,4376
835685285446955009,0,8365
835574547218894849,18231,3710
835536468978302976,0,1749
835309094223372289,0,21626
835297930240217089,16859,3093
835264098648616962,7917,1749
835246439529840640,2152,73
835172783151792128,26814,5921
835152434251116546,23025,3113
834931633769889797,11096,1698
834786237630337024,21822,5638
834574053763584002,14028,2606
834477809192075265,0,11004
834458053273591808,9868,1731
834209720923721728,21159,4904
834167344700198914,16200,3760
834089966724603904,10313,2195
834086379323871233,13406,2272
833863086058651648,13754,2473
833826103416520705,18486,3874
833732339549220864,0,223
833722901757046785,21305,3322
833479644947025920,15243,2112
833124694597443584,20713,4981
832998151111966721,13660,2280
832769181346996225,0,39
832757312314028032,17300,3730
832682457690300417,12202,3024
832645525019123713,3009,541
832636094638288896,16283,2874
832397543355072512,12261,2285
832369877331693569,17652,3293
832273440279240704,11635,2409
832215909146226688,0,6416
832215726631055365,0,9672
832088576586297345,67,2
832040443403784192,0,9964
832032802820481025,18353,4816
831939777352105988,24671,6344
831926988323639298,350,34
831911600680497154,28424,6724
831670449226514432,10740,1876
831650051525054464,7370,1999
831552930092285952,9244,2377
831322785565769729,9500,1594
831315979191906304,6718,1158
831309418084069378,12071,2536
831262627380748289,12246,2115
830956169170665475,8195,1542
830583320585068544,68835,17372
830173239259324417,0,5900
830097400375152640,10120,3072
829878982036299777,0,5206
829861396166877184,12592,2023
829501995190984704,32709,11004
829449946868879360,10785,2097
829141528400556032,25173,7639
829011960981237760,54672,16880
828801551087042563,0,3528
828770345708580865,26331,6087
828708714936930305,37690,11637
828650029636317184,9804,1408
828409743546925057,6521,1202
828408677031882754,7913,1337
828381636999917570,13013,2298
828376505180889089,7613,1110
828372645993398273,12954,3053
828361771580813312,2275,177
828046555563323392,12130,2962
828011680017821696,10669,2227
827933404142436356,20746,5430
827653905312006145,15947,3111
827600520311402496,7650,975
827324948884643840,16338,3166
827199976799354881,10904,2322
826958653328592898,22255,5206
826848821049180160,37574,10578
826615380357632002,0,4126
826598799820865537,5274,264
826598365270007810,10378,2435
826476773533745153,19013,4373
826240494070030336,13710,2701
826204788643753985,5031,964
826115272272650244,16150,3252
825876512159186944,10783,1950
825829644528148480,13155,2581
825535076884762624,53932,17973
825147591692263424,18915,4732
825120256414846976,0,1323
825026590719483904,6546,1323
824796380199809024,0,5712
824775126675836928,15434,3663
824663926340194305,10434,1807
824325613288833024,12217,10905
824297048279236611,15592,4024
824025158776213504,4964,617
823939628516474880,10994,2817
823719002937630720,0,11672
823699002998870016,14421,2621
823581115634085888,13473,2741
823333489516937216,720,26
823322678127919110,16271,4192
823269594223824897,0,10307
822975315408461824,17888,3591
822872901745569793,136650,45223
822859134160621569,13731,2391
822647212903690241,0,6674
822610361945911296,15307,3071
822489057087389700,18812,6674
822462944365645825,29269,15066
822244816520155136,36261,10307
822163064745328640,0,5004
821886076407029760,11744,2419
821813639212650496,0,3492
821765923262631936,8715,1719
821522889702862852,8309,1845
821421320206483457,0,5837
821407182352777218,12213,4524
821153421864615936,264,10
821149554670182400,9003,2089
821107785811234820,9933,2225
821044531881721856,13109,2378
820837357901512704,0,7034
820749716845686786,32702,10319
820690176645140481,12650,3371
820494788566847489,0,592
820446719150292993,0,2691
820314633777061888,3462,592
820078625395449857,20556,6549
820013781606658049,0,1236
819952236453363712,5529,1236
819924195358416896,13368,5079
819711362133872643,13946,3251
819588359383371776,9974,2066
819347104292290561,7492,1256
819238181065359361,2371,423
819227688460238848,23976,7034
819015337530290176,0,38486
819015331746349057,0,19782
819006400881917954,46942,19782
819004803107983360,90181,38486
818646164899774465,0,21920
818627210458333184,23233,7881
818614493328580609,10227,2687
818588835076603904,0,6419
818536468981415936,11332,2584
818307523543449600,0,8493
818259473185828864,11440,2385
818145370475810820,12756,2693
817908911860748288,5039,835
817827839487737858,53779,28330
817777686764523521,11141,2821
817536400337801217,12251,3123
817502432452313088,0,3548
817423860136083457,35348,15480
817415592588222464,5825,1004
817181837579653120,0,8862
817171292965273600,9089,2113
817120970343411712,12686,2721
817056546584727552,8921,1719
816829038950027264,0,4931
816816676327063552,10416,2139
816697700272001025,10184,2293
816450570814898180,31754,8493
816336735214911488,8947,2037
816091915477250048,9277,2247
816062466425819140,0,1078
816014286006976512,0,5526
815990720817401858,5168,1078
815966073409433600,23313,8862
815745968457060357,0,4341
815736392542261248,10238,2377
815639385530101762,8556,1723
815390420867969024,10792,3988
814986499976527872,7971,1345
814638523311648768,11739,2835
814578408554463233,0,6115
814530161257443328,9004,1944
814153002265309185,29998,9097
813944609378369540,0,3342
813910438903693312,9694,1960
813812741911748608,37914,14668
813800681631023104,8688,1848
813217897535406080,19457,7659
813202720496779264,9596,1887
813187593374461952,20696,4587
813172488309972993,9688,2012
813157409116065792,8092,2325
813142292504645637,8825,2490
813130366689148928,4663,472
813127251579564032,12357,3279
813112105746448384,10750,2887
813096984823349248,10969,3796
813081950185472002,10293,2904
813066809284972545,8309,2050
813051746834595840,21842,7722
812781120811126785,7904,2007
812709060537683968,6907,1499
812503143955202048,6324,1292
812466873996607488,8315,2024
812372279581671427,14276,3854
811985624773361665,7576,1475
811744202451197953,7879,1677
811647686436880384,5840,781
811627233043480576,13321,3256
811386762094317568,21812,6703
810984652412424192,5573,1517
810896069567610880,9426,1863
810657578271330305,11464,2787
810284430598270976,36856,11934
810254108431155201,15320,3528
809920764300447744,16162,4126
809808892968534016,0,5144
809448704142938112,7246,1539
809220051211603969,20785,5900
809084759137812480,13806,3708
808838249661788160,10553,3206
808733504066486276,8271,2280
808501579447930884,11790,2739
808344865868283904,44449,21920
808134635716833280,0,6246
808106460588765185,9162,2324
808001312164028416,13119,3722
807621403335917568,15205,3839
807106840509214720,123851,58421
807059379405148160,0,7718
807010152071229440,13637,4052
806629075125202948,78235,36514
806620845233815552,0,5821
806576416489959424,5088,2046
806542213899489280,10679,2479
806242860592926720,0,12247
806219024703037440,6718,1251
805958939288408065,0,5648
805932879469572096,8634,2014
805826884734976000,6865,1924
805823200554876929,0,8458
805520635690676224,6006,1734
805487436403003392,9181,2665
805207613751304193,8149,1800
804738756058218496,14315,4041
804475857670639616,6405,2119
804413760345620481,0,3391
804026241225523202,46594,16998
803773340896923648,10502,2902
803692223237865472,0,7818
803638050916102144,11449,4340
803380650405482500,8110,1955
803321560782307329,0,5595
803276597545603072,10487,2590
802952499103731712,9430,2106
802624713319034886,0,3067
802600418706604034,7433,1544
802572683846291456,9352,2636
802323869084381190,16931,6141
802265048156610565,7052,1435
802239329049477120,9476,2748
802185808107208704,0,280
801958328846974976,8077,1791
801854953262350336,1851,249
801538201127157760,8563,2173
801285448605831168,6328,866
801167903437357056,25625,6246
801127390143516673,0,4155
801115127852503040,8448,2211
800859414831898624,718,100
800855607700029440,0,1695
800751577355128832,11021,2930
800513324630806528,13728,3157
800459316964663297,9918,2271
800443802682937345,0,4540
800388270626521089,11667,2951
800188575492947969,0,4162
800141422401830912,15999,2691
800018252395122689,29714,13863
799774291445383169,0,4930
799757965289017345,8785,2271
799422933579902976,8420,2028
799308762079035393,0,5771
799297110730567681,10344,2908
799063482566066176,8449,2599
798933969379225600,13723,4723
798925684722855936,7803,1505
798705661114773508,0,6975
798701998996647937,0,8201
798697898615730177,0,6847
798694562394996736,0,5232
798686750113755136,0,2451
798682547630837760,0,4963
798673117451325440,0,5849
798665375516884993,0,4103
798644042770751489,0,1951
798628517273620480,0,2073
798585098161549313,0,6009
798576900688019456,0,6146
798340744599797760,0,3539
798209839306514432,10876,2695
797971864723324932,12155,3285
797545162159308800,15183,5114
797236660651966464,20883,6969
797165961484890113,235,28
796904159865868288,0,9389
796865951799083009,8036,2013
796759840936919040,12398,3221
796563435802726400,0,7672
796484825502875648,7932,1857
796387464403357696,11516,4374
796177847564038144,0,15068
796149749086875649,33796,15068
796125600683540480,5187,1893
796116448414461957,9541,2548
796080075804475393,8854,2440
796031486298386433,11314,3900
795464331001561088,52023,24981
795400264262053889,10546,3040
795076730285391872,16959,5712
794983741416415232,0,3549
794926597468000259,10746,2433
794355576146903043,0,10846
794332329137291264,10016,2804
794205286408003585,9627,3496
793962221541933056,17582,5144
793845145112371200,9642,1968
793614319594401792,0,3290
793601777308463104,8345,1710
793500921481273345,11180,2501
793286476301799424,25731,9672
793271401113350145,9083,2512
793256262322548741,20918,8788
793241302385262592,11002,3454
793226087023144960,10299,3027
793210959003287553,9343,2943
793195938047070209,15991,5925
793180763617361921,7262,2106
793165685325201412,9852,2930
793150605191548928,6473,1795
793135492858580992,6758,2614
793120401413079041,13285,4120
792913359805018113,15000,4188
792883833364439040,11824,4491
792773781206999040,7694,1769
792394556390137856,14049,4515
792050063153438720,7500,1902
791821351946420224,0,22179
791784077045166082,0,10120
791780927877898241,0,4009
791774931465953280,47176,23374
791672322847637504,12281,3290
791406955684368384,13716,4341
791312159183634433,9172,2667
791026214425268224,0,4315
790987426131050500,10312,2239
790946055508652032,17400,4931
790723298204217344,0,2437
790698755171364864,8576,2022
790581949425475584,21603,7553
790337589677002753,8172,1971
790277117346975746,13130,3342
790227638568808452,0,3760
789986466051088384,9663,2437
789960241177853952,0,4341
789903600034189313,10853,4340
789628658055020548,7857,1868
789599242079838210,7074,2023
789530877013393408,12295,3549
789314372632018944,9017,2408
789280767834746880,0,5194
789268448748703744,9522,2732
789137962068021249,10141,2942
788908386943430656,28631,13075
788765914992902144,28648,10846
788552643979468800,0,7578
788412144018661376,16270,5536
788178268662984705,7548,2205
788150585577050112,6402,1359
788070120937619456,0,3604
788039637453406209,6421,1386
787810552592695296,9059,3218
787717603741622272,10686,2919
787397959788929025,11345,2987
787322443945877504,8139,1829
787111942498508800,0,7076
786963064373534720,27782,8365
786729988674449408,0,2526
786709082849828864,19031,6416
786664955043049472,11100,2680
786595970293370880,9821,3276
786363235746385920,11375,3684
786286427768250368,8312,3003
786233965241827333,15946,5004
786051337297522688,1486,160
786036967502913536,0,7400
785927819176054784,11884,3329
785872687017132033,6983,1918
785639753186217984,8159,2335
785533386513321988,9501,2093
785515384317313025,6364,1328
785264754247995392,7566,1712
785170936622350336,12581,5082
784826020293709826,10558,3391
784517518371221505,9350,2662
784431430411685888,5949,1347
784183165795655680,20984,8458
784057939640352768,31106,11672
783839966405230592,31298,11291
783821107061198850,7666,2056
783695101801398276,10886,3363
783466772167098368,8806,2351
783391753726550016,17582,5761
783347506784731136,0,5847
783334639985389568,30401,12247
783085703974514689,8499,2323
782969140009107456,25136,7718
782747134529531904,7789,1466
782722598790725632,17988,5648
